course_name,course_url,course_logo_url,category,difficulty,description,rating,enrollment_count
Putting it All Together: Problem-Solve Like an Entrepreneur,https://www.coursera.org/learn/putting-it-all-together-problem-solve-like-an-entrepreneur,https://s3.amazonaws.com/coursera-course-photos/32/c5d39af54b44bb91761e9ccce1547d/shutterstock_1636265755---Design-Thinking.jpg,Lean Methodologies,BEGINNER,"Design Thinking, Innovation, Entrepreneurship, Solution Design, Customer Insights, Market Opportunities, Market Research, Value Propositions, Business Modeling, Presentations, Competitive Analysis",4.7,13
Build an Automobile Listing Website with PHP,https://www.coursera.org/projects/automobile-listing-php,https://s3.amazonaws.com/coursera-course-photos/68/a52851646149d0b7808f3002f0808c/1X1.jpg,Web Development,INTERMEDIATE,"PHP (Scripting Language), Web Design and Development, Content Management, Web Applications, HTML and CSS",4.3,7
Fundamentals Of Microfrontends,https://www.coursera.org/learn/fundamentals-of-microfrontends,https://s3.amazonaws.com/coursera-course-photos/7f/9fc5b779b741579e72c09eb8d56ddd/microfrontends.png,Webpack,INTERMEDIATE,"JavaScript Frameworks, Angular, Vue.JS, Front-End Web Development, Web Development, Microarchitecture, Web Applications, React.js, Software Architecture, Integration Testing, Scalability, Server Side, Maintainability, Application Security",3.8,10
Open Source Programming - Bachelor's,https://www.coursera.org/learn/illinois-tech-open-source-programming-bit,https://s3.amazonaws.com/coursera-course-photos/98/1351f970574c74b10a8c23277eb3a6/info-tech-4.jpg,Object Oriented Programming (OOP),INTERMEDIATE,"Web Scraping, Data Structures, Test Driven Development (TDD), Computer Programming, Python Programming, Scripting Languages, User Interface (UI), Open Source Technology, Database Development, Programming Principles, Database Application, Program Development, File Management",4.7,6
   للمبتدئين Metasploit: أساسيات الاستغلال ,https://www.coursera.org/learn/metasploit-lilmubtadiiyna-asasiaat-aliastighlal,https://s3.amazonaws.com/coursera-course-photos/ba/8e39817bc74af1b5fa858bb06bd03c/ssyt-aadd-wkhtbr-twSyl-jhz-lshbk-ldhky-27-.png,Penetration Testing,INTERMEDIATE,"Vulnerability Assessments, Vulnerability Scanning, Cyber Security Assessment, Network Security, Virtual Environment",5,2
Global Procurement in a Post Covid World,https://www.coursera.org/learn/global-procurement-in-a-post-covid-world,https://s3.amazonaws.com/coursera-course-photos/fc/f4793d761a47b9a19eec00dcc271d4/1.jpeg,Supplier Quality Management,INTERMEDIATE,"Procurement, Strategic Sourcing, Purchasing, Risk Management, Business Risk Management, Supply Chain, Supplier Relationship Management, Supply Chain Management, Cost Benefit Analysis, Cost Estimation",3.7,3
Efficiently Serving LLMs,https://www.coursera.org/projects/efficiently-serving-llms,https://s3.amazonaws.com/coursera-course-photos/05/0d094fe9114a5b9b3493ee03a0bca9/DeepLearning_Predibase_Banner_1000x1000.png,Performance Tuning,INTERMEDIATE,"Generative AI, MLOps (Machine Learning Operations), Scalability, Artificial Intelligence and Machine Learning (AI/ML), Performance Testing, Application Performance Management",5,6
"Resilience & Leadership: Concepts, Definitions, & Frameworks",https://www.coursera.org/learn/resilience-engineering-crisis-leadership-concepts-definitions-frameworks,https://s3.amazonaws.com/coursera-course-photos/29/32176907df477eb1948cfa7dfc3d79/RE-C1-Logo.png,Crisis Management,INTERMEDIATE,"Threat Management, Threat Detection, Infrastructure Security, Disaster Recovery, Emergency Response, Business Ethics, Systems Thinking, Organizational Leadership, Safety and Security, Risk Analysis, Complex Problem Solving, Decision Making, Leadership",5,3
Strategic Management,https://www.coursera.org/learn/strategic-management-mba-fia,https://s3.amazonaws.com/coursera-course-photos/65/daeacd0c3a429480cee13cf430a3b5/_Strategic-Management.png,Strategic Decision-Making,INTERMEDIATE,"Competitive Analysis, Organizational Strategy, Business Strategy, Strategic Leadership, Strategic Planning, Strategic Thinking, Corporate Sustainability, Market Analysis, Business Analysis, Supply Chain Management, Supplier Management, Business Risk Management, Continuous Monitoring",4.8,11
How to Develop an Account Strategy,https://www.coursera.org/learn/how-to-develop-an-account-strategy,https://s3.amazonaws.com/coursera-course-photos/a4/665d1b1e38446c9ba51b5e5cbfa27f/Coursera_0664_01.png,Account Strategy,INTERMEDIATE,"Account Management, Customer Success Management, Customer Engagement, Customer Retention, Customer Service, Customer Relationship Management, Milestones (Project Management), Relationship Building, Growth Strategies, Expectation Management, Data-Driven Decision-Making, Goal Setting, Needs Assessment",5,5
